name,position
Abdulla Shahid,Minister of Foreign Affairs
Uza. Mariya Ahmed Didi,Minister of Defense
Sheikh Imran Abdulla,Minister of Home Affairs
Ibrahim Ameer,Minister of Finance
Uz. Ibrahim Riffath,Attorney General
Mohamed Aslam,"Minister of National Planning, Housing and Infrastructure"
Dr. Ibrahim Hassan,Minister of Higher Education
Dr. Aishath Ali,Minister of Education
Aishath Nahula,Minister of Transport and Civil Aviation
Yumna Maumoon,Minister of Arts Culture and Heritage
Uz. Fayyaz Ismail,Minister of Economic Development
Dr. Ahmed Zahir,Minister Islamic Affairs
Ahmed Mahloof,"Minister of Youth, Sports and Community Empowerment"
Aishath Mohamed Didi,"Minister of Gender, Family and Social Services"
Dr. Abdulla Mausoom,Minister of Tourism
Ahmed Naseem,Minister of Health
Dr. Hussain Rasheed Hassan,"Minister of Fisheries, Marine Resources and Agriculture"
Aminath Shauna,"Minister of Environment, Climate Change and Technology"
