position,title
Q1064606,President
Q10999435,Vice President
Q109756388,"Minister of Arts, Culture and Heritage"
Q108872206,Minister of Defence
Q109756435,Minister of Economic Development
Q109756275,Minister of Education
Q109756575,"Minister of Environment, Climate Change and Technology"
Q108872117,Minister of Finance
Q109756572,"Minister of Fisheries, Marine Resources and Agriculture"
Q19901419,Minister of Foreign Affairs
Q109756503,"Minister of Gender, Family and Social Services"
Q109756239,Minister of Higher Education
Q108872163,Minister of Home Affairs
Q109756566,Minister of Health
Q109756033,Minister of Islamic Affairs
Q109756178,"Minister of National Planning, Housing and Infrastructure"
Q109756537,Minister of Tourism
Q108872189,"Minister of Tourism, Arts & Culture"
Q109756278,Minister of Transport and Civil Aviation
Q109756480,"Minister of Youth, Sports and Community Empowerment"
Q4818661,Attorney General
Q108872155,Speaker of the People's Majlis
Q109756678,Governor of the Maldives Monetary Authority
Q60544010,Chief of Defence Force
